,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,%night,%eve,avg duration,Midwest,Noncontinental,Northeast,Northwest,Southeast,Southwest
16,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,25,30,0.5365337098482176,0.0,0.0,0.0,1.0,0.0,0.0
17,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,35,32,0.6425255338904364,0.0,0.0,1.0,0.0,0.0,0.0
18,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,45,27,0.4206265399507215,0.0,0.0,0.0,0.0,1.0,0.0
19,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,29,35,0.4369689613317149,0.0,0.0,0.0,0.0,1.0,0.0
20,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,39,27,0.568257123923128,0.0,0.0,0.0,0.0,1.0,0.0
21,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,23,44,0.6200497850192351,0.0,0.0,0.0,0.0,0.0,1.0
22,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,27,34,0.6602695910440941,0.0,0.0,0.0,0.0,0.0,1.0
23,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,34,33,0.7088954950834667,0.0,0.0,0.0,0.0,1.0,0.0
24,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,42,26,0.48464406177880354,0.0,0.0,0.0,0.0,1.0,0.0
25,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,38,37,0.46465266063487193,1.0,0.0,0.0,0.0,0.0,0.0
26,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,34,33,0.5828220858895706,0.0,0.0,0.0,1.0,0.0,0.0
27,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,28,41,0.6149527940801225,0.0,0.0,0.0,1.0,0.0,0.0
28,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,35,28,0.46847705256471334,1.0,0.0,0.0,0.0,0.0,0.0
29,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,28,34,0.6158643539271098,0.0,1.0,0.0,0.0,0.0,0.0
30,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,48,21,0.6483050847457628,1.0,0.0,0.0,0.0,0.0,0.0
31,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,32,35,0.4600771742356783,0.0,0.0,1.0,0.0,0.0,0.0
32,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,25,37,0.5852749301025163,0.0,0.0,0.0,0.0,1.0,0.0
33,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,28,36,0.4180516491945794,0.0,0.0,0.0,0.0,0.0,1.0
34,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,41,26,0.48692977960020506,0.0,0.0,0.0,0.0,1.0,0.0
35,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,28,40,0.4287408913743433,0.0,0.0,0.0,0.0,1.0,0.0
36,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,34,25,0.7235790915316137,0.0,1.0,0.0,0.0,0.0,0.0
37,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,38,40,0.49459041731066467,0.0,0.0,1.0,0.0,0.0,0.0
38,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,34,32,0.6326034063260341,0.0,1.0,0.0,0.0,0.0,0.0
39,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,37,31,0.48959200666111574,0.0,0.0,1.0,0.0,0.0,0.0
40,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,42,26,0.6695778748180494,0.0,0.0,0.0,0.0,1.0,0.0
41,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,29,40,0.5408653846153846,0.0,0.0,1.0,0.0,0.0,0.0
42,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,30,38,0.35908141962421714,0.0,0.0,0.0,0.0,1.0,0.0
43,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,33,39,0.6494413407821229,0.0,0.0,0.0,1.0,0.0,0.0
44,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,32,44,0.4200899085413114,1.0,0.0,0.0,0.0,0.0,0.0
45,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,38,30,0.613682092555332,0.0,0.0,0.0,1.0,0.0,0.0
46,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,33,34,0.7078254030672435,1.0,0.0,0.0,0.0,0.0,0.0
47,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,38,22,0.5924086555516141,0.0,0.0,1.0,0.0,0.0,0.0
48,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,28,36,0.6034482758620691,0.0,0.0,0.0,1.0,0.0,0.0
49,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,29,21,0.6460807600950119,0.0,0.0,0.0,1.0,0.0,0.0
50,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,30,33,0.41660701503221187,1.0,0.0,0.0,0.0,0.0,0.0
51,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,43,38,0.44219186131923016,1.0,0.0,0.0,0.0,0.0,0.0
52,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,24,28,0.3565468062509483,0.0,0.0,0.0,0.0,1.0,0.0
53,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,27,27,0.3840292593721426,0.0,0.0,0.0,0.0,0.0,1.0
54,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,39,36,0.5673512008353637,0.0,0.0,0.0,1.0,0.0,0.0
55,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,39,34,0.3597122302158273,1.0,0.0,0.0,0.0,0.0,0.0
56,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,44,22,0.6432879160151888,0.0,0.0,0.0,0.0,0.0,1.0
57,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,27,27,0.6221147504946142,0.0,0.0,0.0,0.0,0.0,1.0
58,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,31,49,0.6417825176156923,1.0,0.0,0.0,0.0,0.0,0.0
59,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,29,39,0.5436241610738255,0.0,0.0,0.0,0.0,1.0,0.0
60,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,22,38,0.46348846008323874,0.0,0.0,0.0,1.0,0.0,0.0
61,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,32,43,0.5398793019083347,0.0,0.0,0.0,0.0,0.0,1.0
62,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,33,34,0.4828660436137072,1.0,0.0,0.0,0.0,0.0,0.0
63,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,25,31,0.32965299684542587,1.0,0.0,0.0,0.0,0.0,0.0
64,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,35,32,0.6643125137938645,0.0,0.0,0.0,0.0,1.0,0.0
65,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,39,33,0.49652059432010526,0.0,0.0,0.0,1.0,0.0,0.0
66,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,24,38,0.44365857579167334,0.0,0.0,0.0,1.0,0.0,0.0
67,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,40,34,0.7615534823172054,1.0,0.0,0.0,0.0,0.0,0.0
68,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,29,38,0.36082474226804123,0.0,0.0,0.0,0.0,0.0,1.0
69,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,32,35,0.626258558195731,0.0,0.0,0.0,0.0,1.0,0.0
70,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,37,30,0.395703787450537,0.0,0.0,1.0,0.0,0.0,0.0
71,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,25,35,0.36243822075782534,1.0,0.0,0.0,0.0,0.0,0.0
72,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,39,31,0.48596491228070177,0.0,0.0,0.0,0.0,0.0,1.0
73,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,29,32,0.6317596566523606,0.0,0.0,0.0,0.0,0.0,1.0
74,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,33,31,0.5196145905024088,0.0,1.0,0.0,0.0,0.0,0.0
75,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,41,26,0.48593805624777503,1.0,0.0,0.0,0.0,0.0,0.0
76,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,26,35,0.37529944104338564,0.0,0.0,1.0,0.0,0.0,0.0
77,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,33,28,0.9656721206288098,0.0,0.0,1.0,0.0,0.0,0.0
78,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,39,36,0.5197841726618705,1.0,0.0,0.0,0.0,0.0,0.0
79,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,28,37,0.4981949458483754,0.0,0.0,1.0,0.0,0.0,0.0
80,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,41,25,0.4007685973099094,0.0,0.0,1.0,0.0,0.0,0.0
81,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,37,27,0.417918992414484,0.0,0.0,0.0,1.0,0.0,0.0
82,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,29,31,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,1.0
83,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,25,37,0.3648039349637929,0.0,0.0,0.0,0.0,1.0,0.0
84,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,33,32,0.41308353808353815,0.0,0.0,0.0,0.0,1.0,0.0
85,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,29,32,0.36803076078000546,0.0,0.0,1.0,0.0,0.0,0.0
86,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,29,35,0.5771144278606966,1.0,0.0,0.0,0.0,0.0,0.0
87,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,34,26,0.48248512888301387,0.0,0.0,1.0,0.0,0.0,0.0
88,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,23,34,0.5108423686405338,0.0,0.0,0.0,0.0,1.0,0.0
89,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,24,33,0.4118663594470046,0.0,0.0,1.0,0.0,0.0,0.0
90,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,36,40,0.5798394290811776,0.0,0.0,1.0,0.0,0.0,0.0
91,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,37,32,0.5471794003049297,0.0,0.0,0.0,0.0,1.0,0.0
92,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,23,40,0.48864668483197093,0.0,0.0,0.0,0.0,1.0,0.0
93,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,34,36,0.4459148446490218,0.0,0.0,1.0,0.0,0.0,0.0
94,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,37,33,0.48854041013269,0.0,0.0,0.0,0.0,0.0,1.0
95,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,38,32,0.681209337925756,0.0,1.0,0.0,0.0,0.0,0.0
96,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0,28,28,0.4639269406392694,0.0,0.0,0.0,1.0,0.0,0.0
97,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,41,28,0.4627766599597586,0.0,0.0,0.0,0.0,0.0,1.0
98,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,29,31,0.5622558179038559,0.0,0.0,0.0,0.0,1.0,0.0
99,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1,36,41,0.4189982257404121,0.0,0.0,0.0,1.0,0.0,0.0
100,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,32,29,0.5038354253835426,1.0,0.0,0.0,0.0,0.0,0.0
101,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0,32,24,0.6345688960515713,0.0,0.0,1.0,0.0,0.0,0.0
102,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,35,37,0.6367872198801864,0.0,0.0,1.0,0.0,0.0,0.0
103,0,0,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0,33,35,0.5444227699946799,0.0,0.0,0.0,0.0,1.0,0.0
104,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,27,39,0.46896086369770584,1.0,0.0,0.0,0.0,0.0,0.0
105,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,41,35,0.451812124167073,0.0,0.0,0.0,0.0,0.0,1.0
106,0,1,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,0,39,26,0.4338103756708408,1.0,0.0,0.0,0.0,0.0,0.0
107,0,1,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,26,35,0.6647977573087706,0.0,0.0,0.0,0.0,0.0,1.0
108,0,1,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0,43,29,0.6611901422560609,0.0,0.0,0.0,0.0,0.0,1.0
109,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,34,38,0.5152640930382814,0.0,0.0,0.0,0.0,0.0,1.0
110,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,32,31,0.44728965746591287,1.0,0.0,0.0,0.0,0.0,0.0
111,0,0,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,30,31,0.47852955157661226,0.0,0.0,1.0,0.0,0.0,0.0
112,0,0,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,33,33,0.5917874396135266,0.0,0.0,0.0,0.0,1.0,0.0
113,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,37,29,0.537467700258398,0.0,0.0,1.0,0.0,0.0,0.0
114,0,0,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0,32,22,0.6183223459877245,0.0,0.0,0.0,0.0,0.0,1.0
115,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,37,36,0.5711864406779661,0.0,0.0,1.0,0.0,0.0,0.0
116,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,39,35,0.8431793770139635,0.0,0.0,1.0,0.0,0.0,0.0
117,0,0,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,1,42,17,0.41195716835217133,0.0,0.0,0.0,0.0,0.0,1.0
118,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,0,37,26,0.7063279857397505,1.0,0.0,0.0,0.0,0.0,0.0
119,0,0,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,0,26,35,0.5301889948151864,0.0,0.0,0.0,1.0,0.0,0.0
120,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0,41,27,0.44698870765370136,1.0,0.0,0.0,0.0,0.0,0.0
121,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0,40,28,0.6247488951386099,0.0,0.0,0.0,0.0,1.0,0.0
122,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0,32,36,0.5428571428571428,0.0,0.0,1.0,0.0,0.0,0.0
123,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0,29,31,0.7402066810862773,0.0,0.0,0.0,0.0,1.0,0.0
124,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0,35,29,0.6791378609190729,0.0,0.0,0.0,0.0,0.0,1.0
125,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,0,40,40,0.3834333382116201,0.0,0.0,0.0,0.0,0.0,1.0
126,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,30,31,0.7232375979112271,0.0,0.0,0.0,0.0,1.0,0.0
127,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1,36,29,0.6359414076455877,0.0,0.0,0.0,0.0,1.0,0.0
128,0,0,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0,29,41,0.6494352736750652,0.0,0.0,0.0,0.0,1.0,0.0
129,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0,31,35,0.5213862004370903,1.0,0.0,0.0,0.0,0.0,0.0
130,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0,37,35,0.644971574201137,1.0,0.0,0.0,0.0,0.0,0.0
131,0,0,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,0,27,30,0.5006882312456985,0.0,0.0,0.0,0.0,0.0,1.0
132,0,0,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0,32,37,0.5188157166574433,0.0,0.0,1.0,0.0,0.0,0.0
133,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0,23,40,0.42462146148782093,0.0,0.0,0.0,0.0,1.0,0.0
134,0,0,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0,25,40,0.523102310231023,0.0,0.0,0.0,0.0,1.0,0.0
135,1,0,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0,40,26,0.5904796511627906,0.0,0.0,0.0,0.0,1.0,0.0
136,0,1,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0,40,31,0.5342422320862398,0.0,0.0,1.0,0.0,0.0,0.0
137,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,0,37,32,0.5716162943495401,0.0,0.0,0.0,0.0,1.0,0.0
138,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0,27,29,0.46049188906331767,0.0,1.0,0.0,0.0,0.0,0.0
139,0,1,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0,27,27,0.42668735453840184,0.0,0.0,0.0,0.0,0.0,1.0
140,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0,36,27,0.5028294260307195,0.0,0.0,1.0,0.0,0.0,0.0
141,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0,41,35,0.41660489251297256,0.0,0.0,1.0,0.0,0.0,0.0
142,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0,43,23,0.6428284451586983,1.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0,42,37,0.35330739299610897,0.0,0.0,1.0,0.0,0.0,0.0
144,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1,43,29,0.5134680134680135,0.0,0.0,1.0,0.0,0.0,0.0
145,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0,33,32,0.5832006369426752,1.0,0.0,0.0,0.0,0.0,0.0
146,0,0,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,0,39,28,0.5039739884393063,0.0,0.0,0.0,1.0,0.0,0.0
147,1,0,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,0,33,40,0.5222532435539498,0.0,0.0,0.0,0.0,0.0,1.0
148,0,0,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,0,32,30,0.5734639358860196,0.0,0.0,0.0,0.0,1.0,0.0
149,0,1,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,0,31,34,0.3933776708645819,0.0,0.0,1.0,0.0,0.0,0.0
150,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0,23,43,0.49531914893617024,1.0,0.0,0.0,0.0,0.0,0.0
151,0,0,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,0,33,29,0.5176663927691043,1.0,0.0,0.0,0.0,0.0,0.0
152,0,0,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,0,27,37,0.5569134078212291,1.0,0.0,0.0,0.0,0.0,0.0
153,0,0,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,0,38,32,0.6048780487804878,0.0,0.0,1.0,0.0,0.0,0.0
